"filename", "language", "C++", "CUDA C++", "Markdown", "Python", "comment", "blank", "total"
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/aphrodite/modeling/models/gpt_neox.py", "Python", 0, 0, 0, -202, -6, -30, -238
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/aphrodite/modeling/models/llama.py", "Python", 0, 0, 0, -261, -25, -35, -321
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/aphrodite/modeling/utils.py", "Python", 0, 0, 0, -13, -1, -3, -17
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/aphrodite/processing/__init__.py", "Python", 0, 0, 0, 0, 0, -1, -1
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/aphrodite/processing/block_manager.py", "Python", 0, 0, 0, -175, -21, -36, -232
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/aphrodite/processing/policy.py", "Python", 0, 0, 0, -33, 0, -9, -42
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/aphrodite/processing/scheduler.py", "Python", 0, 0, 0, -316, -60, -51, -427
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/aphrodite/task_handler/__init__.py", "Python", 0, 0, 0, 0, 0, -1, -1
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/aphrodite/task_handler/cache_engine.py", "Python", 0, 0, 0, -122, -9, -24, -155
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/aphrodite/task_handler/worker.py", "Python", 0, 0, 0, -251, -17, -51, -319
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/aphrodite/transformers_utils/__init__.py", "Python", 0, 0, 0, 0, 0, -1, -1
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/aphrodite/transformers_utils/config.py", "Python", 0, 0, 0, -17, 0, -1, -18
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/aphrodite/transformers_utils/tokenizer.py", "Python", 0, 0, 0, -85, -21, -12, -118
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/kernels/activation.cpp", "C++", 10, 0, 0, 0, 0, 3, 13
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/kernels/activation_kernels.cu", "CUDA C++", 0, 41, 0, 0, 1, 7, 49
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/kernels/attention.cpp", "C++", 20, 0, 0, 0, 0, 3, 23
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/kernels/attention/README.md", "Markdown", 0, 0, 11, 0, 0, 4, 15
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/kernels/attention/attention_dtypes.h", "C++", 5, 0, 0, 0, 0, 2, 7
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/kernels/attention/attention_generic.cuh", "CUDA C++", 0, 33, 0, 0, 21, 12, 66
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/kernels/attention/attention_kernels.cu", "CUDA C++", 0, 364, 0, 0, 90, 51, 505
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/kernels/attention/attention_utils.cuh", "CUDA C++", 0, 28, 0, 0, 21, 8, 57
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/kernels/attention/dtype_bfloat16.cuh", "CUDA C++", 0, 344, 0, 0, 28, 53, 425
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/kernels/attention/dtype_float16.cuh", "CUDA C++", 0, 357, 0, 0, 29, 60, 446
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/kernels/attention/dtype_float32.cuh", "CUDA C++", 0, 200, 0, 0, 29, 41, 270
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/kernels/cache.cpp", "C++", 41, 0, 0, 0, 0, 7, 48
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/kernels/cache_kernels.cu", "CUDA C++", 0, 335, 0, 0, 9, 43, 387
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/kernels/layernorm.cpp", "C++", 12, 0, 0, 0, 0, 3, 15
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/kernels/layernorm_kernels.cu", "CUDA C++", 0, 54, 0, 0, 1, 9, 64
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/kernels/pos_encoding.cpp", "C++", 13, 0, 0, 0, 0, 3, 16
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/kernels/pos_encoding_kernels.cu", "CUDA C++", 0, 76, 0, 0, 1, 12, 89
"/home/alpindale/AI-Stuff/projects/aphrodite-engine/kernels/reduction.cuh", "CUDA C++", 0, 23, 0, 0, 21, 9, 53
"Total", "-", 101, 1855, 10, -5351, -946, -764, -5095
